Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
177,1.138109526,1.996338738,0.093600284,0.834779427,0,3,1.5,1.5,1,0,0,10,,0.010753533,0.845220726,105.701262,0.907334968,,,,,,
178,1.878885681,1.999832273,0.076951115,0.868059486,0,3,1.5,1.5,0,0,1,10,,0.038261262,0.881435503,89.967727,0.919672051,,,,,,
179,0.612340429,1.996372777,0.069335507,0.796981842,3,0,3,3,1,0,0,10,,0.008127727,0.797499106,80.707223,0.88509437,,,,,,
180,1.498330633,1.997511422,0.094588959,0.849752623,0,3,1.5,1.5,1,1,1,30,,0.018907223,0.870083087,109.328578,0.916550507,,,,,,
181,0.784200744,1.997323534,0.08844504,0.807464328,3,0,3,3,1,1,1,30,"(1,2)??",0.011648578,0.817617862,105.196466,0.885326983,,,,,,
182,1.890150862,1.997086555,0.098287962,0.87306921,0,3,1.5,1.5,0,0,1,10,,0.038476466,0.886418713,114.673445,0.928200251,,,,,,
183,0.515792233,1.998438368,0.073925147,0.783375377,3,0,3,3,1,1,1,30,,0.012553445,0.783937114,90.641632,0.858453177,,,,,,
184,1.137231722,1.999055548,0.086547899,0.83282892,0,3,1.5,1.5,1,1,1,30,,0.012521632,0.83523786,104.424452,0.894570492,,,,,,
185,1.747707847,1.996959024,0.069333117,0.868291876,0,3,1.5,1.5,0,0,1,10,,0.029424452,0.936408171,79.400976,0.932665979,,,,,,
186,1.362302795,1.997552817,0.094382733,0.846885644,0,3,1.5,1.5,1,1,1,30,?,0.015800976,0.862099314,112.647183,0.926273885,,,,,,
187,0.498807736,1.999682236,0.09128474,0.779745856,3,0,3,3,1,1,1,30,,0.012327183,0.781268114,106.317764,0.852793016,,,,,,
188,1.177322055,1.996112156,0.078717956,0.840362617,0,3,1.5,1.5,1,0,1,20,,0.009837764,0.851215483,98.367844,0.97357372,,,,,,
189,0.74941879,1.999726268,0.072120817,0.810597978,3,0,3,3,1,1,0,20,,0.013887844,0.813707073,88.993732,0.870512879,,,,,,
190,1.982722642,1.996096658,0.095300435,0.881483678,0,3,1.5,1.5,0,0,0,0,,0.037393732,0.882412243,104.023342,0.929842189,,,,,,
191,1.425552316,1.999049392,0.067743831,0.85149076,0,3,1.5,1.5,1,1,0,20,,0.018583342,0.863493871,97.230608,0.955746955,,,,,,
192,0.1171211,1.998099706,0.083015125,0.702000219,3,0,3,3,1,1,1,30,,0.010350608,0.703765872,95.420294,0.839889381,,,,,,
193,0.695932206,1.995923289,0.073924755,0.807193443,3,0,3,3,1,1,1,30,,0.009500294,0.807772803,89.076711,0.889266016,,,,,,
194,1.49928938,1.999635651,0.075461006,0.851681049,0,3,1.5,1.5,1,1,1,30,,0.018756711,0.870065182,97.004349,0.939627954,,,,,,
195,0.191165106,1.996151683,0.068494789,0.722126866,3,0,3,3,1,1,1,30,,0.006764349,0.723055063,82.608317,0.833825186,,,,,,
196,0.576395257,1.997156963,0.067219494,0.792147216,0,3,1.5,1.5,1,1,0,20,,0.012528317,0.792622748,79.923037,0.887748099,,,,,,
197,0.905418885,1.999655782,0.091834016,0.816450575,0,3,1.5,1.5,1,1,1,30,,0.013083037,0.825439846,103.704218,0.880457019,,,,,,
198,1.752369045,1.996045737,0.087448381,0.873119555,0,3,1.5,1.5,0,1,1,20,,0.029064218,0.873119555,102.394263,0.915696947,,,,,,
199,1.683013758,1.998738236,0.084460513,0.862040912,0,3,1.5,1.5,0,0,1,10,,0.019714263,0.869888453,94.901764,0.932223897,,,,,,
200,1.151908233,1.996998721,0.094136774,0.837026299,0,3,1.5,1.5,1,0,1,20,,0.011621764,0.849429169,110.201279,0.950054679,,,,,,
201,1.691606163,1.996613504,0.087812642,0.859877352,0,3,1.5,1.5,0,0,0,0,,0.027881279,0.869046461,102.066496,0.914293279,,,,,,
202,1.112991215,1.998840735,0.088369347,0.834150022,0,3,1.5,1.5,1,1,1,30,,0.014346496,0.834634869,98.519265,0.875670913,,,,,,
203,0.493109462,1.997504868,0.072358525,0.780129754,3,0,3,3,1,1,1,30,,0.010079265,0.780760999,89.895132,0.852233725,,,,,,
204,0.40652974,1.997520851,0.097433687,0.76442294,3,0,3,3,1,1,1,30,,0.011415132,0.766796614,112.319149,0.872236757,,,,,,
205,1.175898672,1.998168688,0.071949514,0.835628135,0,3,1.5,1.5,1,1,1,30,,0.013919149,0.843572153,87.311312,0.902035896,,,,,,
206,1.074354374,1.997929358,0.086148872,0.83149293,0,3,1.5,1.5,1,1,1,30,,0.012431312,0.832488407,111.790642,0.955342017,,,,,,
207,0.279348009,1.998286388,0.089400277,0.740405225,3,0,3,3,1,1,1,30,,0.011590642,0.742687973,108.673612,0.862888206,,,,,,
208,0.092309701,1.997879475,0.096805649,0.693377567,3,0,3,3,1,1,1,30,,0.011113612,0.697099112,112.200525,0.833230407,,,,,,
209,0.967081766,1.996410867,0.089057564,0.825122431,0,3,1.5,1.5,1,1,1,30,,0.010920525,0.831816148,105.389133,0.898607079,,,,,,
210,1.364002633,1.999277827,0.085316768,0.846334281,0,3,1.5,1.5,1,1,1,30,,0.018029133,0.862505829,102.642173,0.911258232,,,,,,
211,0.145216318,1.996008642,0.067543339,0.710834213,3,0,3,3,1,1,1,30,,0.005682173,0.712352045,83.111358,0.823042377,,,,,,
212,1.90468528,1.996868822,0.092003635,0.877806675,0,3,1.5,1.5,0,0,0,0,,0.040031358,0.881088764,104.331178,0.923528209,,,,,,
213,0.559071078,1.996918008,0.07979759,0.789127224,3,0,3,3,1,1,1,30,,0.011571178,0.790348437,97.081992,0.881751914,,,,,,
214,1.395105949,1.999617542,0.081648082,0.851124926,0,3,1.5,1.5,1,1,1,30,,0.017521992,0.862284112,93.782458,0.922249725,,,,,,
215,0.278707926,1.997959695,0.074303072,0.741608981,3,0,3,3,1,1,1,30,,0.009662458,0.742419298,91.840305,0.87667957,,,,,,
216,1.870793342,1.997349486,0.093354671,0.875394293,0,3,1.5,1.5,0,0,1,10,,0.037480305,0.881477816,93.770514,0.885457115,,,,,,
217,1.449671895,1.999707674,0.097165287,0.85272182,0,3,1.5,1.5,1,1,1,30,,0.017210514,0.865139577,107.372326,0.910491964,,,,,,
218,1.49558442,1.997930719,0.090430679,0.848998002,0,3,1.5,1.5,1,0,0,10,,0.015932326,0.871278442,104.949281,0.914162475,,,,,,
219,0.721316618,1.997966954,0.099728075,0.808918464,3,0,3,3,1,1,1,30,,0.011469281,0.810692391,111.993046,0.89988223,,,,,,
220,0.544218622,1.997915138,0.072172631,0.787540419,3,0,3,3,1,1,1,30,,0.011313046,0.788124475,90.564862,0.860676726,,,,,,
221,0.560044815,1.998718652,0.091291023,0.788748469,3,0,3,3,1,1,1,30,,0.011844862,0.790253804,106.921348,0.860873197,,,,,,
222,1.665943657,1.996833826,0.072546296,0.857711198,0,3,1.5,1.5,1,1,1,30,,0.034561348,0.930195527,88.406174,0.927517827,,,,,,
223,0.413162995,1.998338836,0.075548637,0.767035874,3,0,3,3,1,1,1,30,,0.012686174,0.767675599,90.861164,0.849905536,,,,,,
224,0.771341345,1.998086468,0.075451001,0.809762436,3,0,3,3,1,1,1,30,,0.011301164,0.816233595,88.113532,0.877879702,,,,,,
225,1.880438472,1.998166442,0.067804712,0.876061313,0,3,1.5,1.5,0,0,0,0,,0.037113532,0.972143507,68.233558,0.880628439,,,,,,
226,1.970206546,1.998022096,0.079530604,0.879053351,0,3,1.5,1.5,0,0,0,0,,0.037993558,0.883770008,97.657904,0.944090285,,,,,,
227,0.740750152,1.998465845,0.067232739,0.812434669,3,0,3,3,1,1,0,20,,0.011737904,0.812838172,77.414155,0.903299997,,,,,,
228,0.015620743,1.998774418,0.078290993,0.67083026,3,0,3,3,1,1,1,30,,0.011774155,0.672830834,94.625582,0.825441442,,,,,,
229,0.261632088,1.999543684,0.083525764,0.737432419,3,0,3,3,1,1,1,30,,0.011105582,0.738513277,93.496316,0.863237243,,,,,,
230,1.232879696,1.997568925,0.084445875,0.839407056,0,3,1.5,1.5,1,1,1,30,,0.011896316,0.84903736,95.111075,0.916299741,,,,,,
231,0.587151845,1.998408207,0.080115981,0.793148867,3,0,3,3,1,1,1,30,,0.012071075,0.794004999,94.751793,0.892336524,,,,,,
232,1.622546611,1.99689222,0.071504584,0.8563662,0,3,1.5,1.5,1,1,1,30,,0.034511793,0.927501061,88.22778,0.922318085,,,,,,
233,0.389414227,1.997983731,0.095100448,0.761238233,3,0,3,3,1,1,1,30,,0.01238778,0.763617292,111.976269,0.872753925,,,,,,
234,1.386175982,1.999448052,0.095526547,0.850608828,0,3,1.5,1.5,1,1,1,30,,0.016456269,0.862203358,110.031948,0.927041174,,,,,,
235,1.423875632,1.996118486,0.068411522,0.850993233,0,3,1.5,1.5,0,0,1,10,,0.013671948,0.853002387,80.601514,0.923100406,,,,,,
236,1.359946679,1.998748195,0.098556049,0.849156356,0,3,1.5,1.5,1,1,1,30,,0.018441514,0.860804739,110.731805,0.925848411,,,,,,
237,1.29175156,1.996912114,0.078915898,0.842410331,0,3,1.5,1.5,1,0,0,10,,0.012811805,0.859450343,96.607886,0.918791557,,,,,,
238,1.766757905,1.996402219,0.09997548,0.870271812,0,3,1.5,1.5,0,0,1,10,,0.038167886,0.875107899,109.357781,0.897703064,,,,,,
239,0.097909911,1.996299173,0.084812402,0.696239162,3,0,3,3,1,1,1,30,,0.009877781,0.698827214,99.620827,0.832712422,,,,,,
240,0.057262739,1.998259088,0.093514251,0.682374881,3,0,3,3,1,1,1,30,,0.013340827,0.686349007,111.940912,0.829064486,,,,,,
241,0.037477002,1.99884151,0.092852343,0.675940731,3,0,3,3,1,1,1,30,,0.011980912,0.679931963,111.23849,0.827910792,,,,,,
242,0.841997754,1.99822354,0.088888172,0.813669932,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.01091849,0.822500489,103.33646,0.884978868,,,,,,
243,1.76924031,1.996254146,0.06999545,0.875012056,0,3,1.5,1.5,0,0,0,0,,0.03049646,0.928577349,84.905854,0.953104984,,,,,,
244,1.901183729,1.996885408,0.070963545,0.878696819,0,3,1.5,1.5,0,0,0,0,,0.039785854,0.925306118,94.474592,0.965946028,,,,,,
245,0.49216344,1.998527264,0.081263401,0.779453816,3,0,3,3,1,1,1,30,,0.012874592,0.780378301,94.512736,0.884964042,,,,,,
246,0.196826334,1.999832085,0.092776386,0.720996513,3,0,3,3,1,1,1,30,,0.011472736,0.723798857,109.887915,0.854183431,,,,,,
247,1.888456078,1.998812513,0.075609466,0.872491793,0,3,1.5,1.5,0,0,1,10,,0.035127915,0.915999639,91.707487,0.947371024,,,,,,
248,1.77239963,1.997565532,0.077690724,0.86386251,0,3,1.5,1.5,1,0,0,10,,0.035427487,0.883187961,92.954468,0.925256278,,,,,,
249,0.921993937,1.996513073,0.097338703,0.817958618,0,3,1.5,1.5,1,0,1,20,,0.011114468,0.823655069,110.926927,0.891006536,,,,,,
250,0.972954149,1.996515259,0.082735248,0.823205558,0,3,1.5,1.5,1,1,0,20,,0.012406927,0.831587134,103.604741,0.968717553,,,,,,
251,1.328053729,1.998611189,0.073658764,0.846822444,0,3,1.5,1.5,1,1,1,30,,0.016364741,0.858953931,84.588811,0.907652662,,,,,,
252,1.824021872,1.996026455,0.09598909,0.873849838,0,3,1.5,1.5,0,0,0,0,,0.030708811,0.875557164,111.413545,0.914777904,,,,,,
253,1.014949924,1.997506641,0.087526898,0.82924988,0,3,1.5,1.5,1,1,1,30,,0.013973545,0.833366619,102.133359,0.894482332,,,,,,
254,1.495486282,1.998733044,0.08042706,0.853113048,0,3,1.5,1.5,1,1,1,30,,0.017533359,0.86770447,96.946956,0.928937382,,,,,,
255,0.386160163,1.999850462,0.09834889,0.760612634,3,0,3,3,1,1,1,30,,0.011146956,0.762802519,109.749538,0.875800271,,,,,,
256,1.473514161,1.997635971,0.097473007,0.848617457,0,3,1.5,1.5,1,1,1,30,,0.015189538,0.868641457,109.204029,0.915433177,,,,,,
257,1.072893408,1.996916532,0.098650931,0.831850689,0,3,1.5,1.5,1,1,1,30,,0.012124029,0.842106307,112.803468,0.914203835,,,,,,
258,0.268840851,1.999586109,0.077242953,0.738982661,3,0,3,3,1,1,1,30,,0.012963468,0.740048362,93.453891,0.864107488,,,,,,
259,3.061078441,1.996772606,0.083690273,0.916702678,0,0,0,0,0,0,0,0,,NaN,0.998157523,-46.892606,0.999987531,,,,,,
260,3.220409099,1.998468363,0.068636286,0.91895443,0,0,0,0,0,0,0,0,,NaN,0.996694833,-48.588363,0.999987531,,,,,,
261,0.948703076,1.997407189,0.087376675,0.819560666,0,3,1.5,1.5,1,1,1,30,,0.011171637,0.831382544,103.792811,0.895334292,,,,,,
262,0.62550224,1.999767478,0.075340446,0.798209921,3,0,3,3,1,1,1,30,,0.012592811,0.798928924,93.152522,0.896396132,,,,,,
263,1.662182308,1.996127912,0.088155794,0.86593868,0,3,1.5,1.5,1,0,1,20,,0.024992522,0.874347624,103.992088,0.924514827,,,,,,
264,2.294284541,1.99872105,0.079307692,0.893352717,0,0,0,0,0,0,0,0,,0.042192088,0.906233489,66.83895,0.89445928,,,,,,
265,3.811215042,1.996056296,0.093725629,0.930146093,0,0,0,0,0,0,0,0,,NaN,0.997977677,-46.176296,0.999988898,,,,,,
266,3.028533136,1.996177189,0.084443092,0.916287657,0,0,0,0,0,0,0,0,,NaN,0.997938305,-46.297189,0.999988898,,,,,,
267,3.665648729,1.998053041,0.078379213,0.927198118,0,0,0,0,0,0,0,0,,NaN,0.998465155,-48.173041,0.999988898,,,,,,
268,3.101981941,1.996282542,0.097968752,0.916951086,0,0,0,0,0,0,0,0,,NaN,0.997865184,-46.402542,0.999988898,,,,,,
269,3.91514883,1.999288452,0.095868896,0.930571679,0,0,0,0,0,0,0,0,,NaN,0.998391692,-49.408452,0.999988898,,,,,,
270,1.857035072,1.999285946,0.085020206,0.867271917,0,3,1.5,1.5,0,1,1,20,,0.035311548,0.880204958,98.794054,0.91373029,,,,,,
271,2.317917445,1.998889665,0.08742842,0.894063054,0,0,0,0,0,0,0,0,,0.039154054,0.896694048,66.670335,0.895163278,,,,,,
272,1.470690637,1.996503939,0.086248589,0.854270204,0,3,1.5,1.5,1,1,1,30,,0.014710335,0.862342684,98.216061,0.924101289,,,,,,
273,1.545303706,1.998627855,0.073617818,0.857109103,0,3,1.5,1.5,1,0,0,10,,0.018776061,0.869621056,86.012145,0.902986006,,,,,,
274,1.266900357,1.998040312,0.076731503,0.84378557,0,3,1.5,1.5,0,1,0,10,,0.013292145,0.849762696,93.079688,0.95127045,,,,,,
275,2.415761258,1.999933561,0.082381748,0.89707652,0,0,0,0,0,0,0,0,,0.048799688,0.961304945,49.906439,0.899038135,,,,,,
276,2.003772625,1.998583631,0.074375256,0.881417934,0,3,1.5,1.5,0,0,1,10,,0.036226439,0.922557991,89.776369,0.920249124,,,,,,
277,0.771248515,1.999214211,0.094815483,0.809646321,3,0,3,3,1,1,1,30,"(2,1)",0.011416369,0.816120792,110.145789,0.90370912,,,,,,
278,3.995043745,1.997770324,0.073185651,0.932317295,0,0,0,0,0,0,0,0,,NaN,0.99807504,-47.890324,0.999988898,,,,,,
279,3.862602555,1.997681131,0.074223195,0.930442377,0,0,0,0,0,0,0,0,,NaN,0.997988305,-47.801131,0.999988898,,,,,,
280,3.006236072,1.999318307,0.072384578,0.914029896,0,0,0,0,0,0,0,0,,NaN,0.996113872,-49.438307,0.999988898,,,,,,
281,1.861440308,1.996227291,0.074281221,0.876601822,0,3,1.5,1.5,0,0,0,0,,0.036841693,0.931960398,92.612709,0.957088331,,,,,,
282,2.109465269,1.996434379,0.081208766,0.889483228,0,0,0,0,0,0,0,0,???,0.041972709,0.901107283,69.725621,0.889796809,,,,,,
283,1.831493428,1.996601953,0.077059706,0.874583133,0,3,1.5,1.5,0,0,0,0,,0.034325621,0.908888902,91.758047,0.935716358,,,,,,
284,2.491186474,1.997508408,0.097448542,0.901656843,0,0,0,0,0,0,0,0,,NaN,0.99791818,-47.628408,0.999987531,,,,,,
285,0.406147285,1.999343582,0.081025906,0.765419381,3,0,3,3,1,1,1,30,,0.012371592,0.766332855,93.696418,0.878329076,,,,,,
286,1.248117583,1.999226852,0.072854383,0.840327933,0,3,1.5,1.5,0,1,1,20,,0.012456418,0.848888699,92.613148,0.955804962,,,,,,
287,0.25357645,1.996131463,0.096832536,0.73421614,3,0,3,3,1,1,1,30,,0.007893148,0.737248982,115.628537,0.841191057,,,,,,
288,0.189027919,1.997543074,0.099325621,0.719163155,3,0,3,3,1,1,1,30,,0.012788537,0.722429749,113.016926,0.844628366,,,,,,
289,3.666411994,1.998074816,0.08131437,0.927199586,0,0,0,0,0,0,0,0,,NaN,0.998483071,-48.194816,0.999987531,,,,,,
290,3.727722077,1.997616164,0.07040027,0.928412849,0,0,0,0,0,0,0,0,,NaN,0.997853477,-47.736164,0.999987531,,,,,,
291,1.612142648,1.998616416,0.075293554,0.861322276,0,3,1.5,1.5,1,0,1,20,,0.017903836,0.866668668,96.823584,0.958306684,,,,,,
292,2.168906497,1.998496056,0.080310371,0.887669123,0,0,0,0,0,0,0,0,???,0.038623584,0.893099311,85.423944,0.891000961,,,,,,
293,1.979054931,1.9970961,0.086510039,0.881771254,0,3,1.5,1.5,0,0,1,10,,0.038383944,0.88211145,102.4239,0.932984258,,,,,,
294,0.18077254,1.997678047,0.075431651,0.719358926,3,0,3,3,1,1,1,30,,0.0119439,0.720408104,92.601953,0.864080913,,,,,,
295,2.405994998,1.99594403,0.086774675,0.900340148,0,0,0,0,0,0,0,0,,NaN,0.997179328,-46.06403,0.999987531,,,,,,
296,2.461837196,1.999979766,0.090383485,0.898816747,0,0,0,0,0,0,0,0,,0.05221597,0.929792406,49.020234,0.900812098,,,,,,
297,0.568839689,1.996576035,0.074084166,0.791021681,3,0,3,3,1,1,1,30,,0.008100234,0.791695655,89.743965,0.873320141,,,,,,
298,0.294423884,1.996322068,0.070610008,0.744841189,3,0,3,3,1,1,1,30,,0.010783965,0.745775622,89.997932,0.84384905,,,,,,
299,2.974772872,1.997431207,0.076579307,0.914418462,0,0,0,0,0,0,0,0,,NaN,0.997035956,-47.551207,0.999987531,,,,,,
300,3.231348037,1.996704993,0.077315317,0.920203509,0,0,0,0,0,0,0,0,,NaN,0.997991358,-46.824993,0.999987531,,,,,,
301,0.567638079,1.997623613,0.093830299,0.78980534,3,0,3,3,1,1,1,30,,0.012335007,0.791417179,106.816387,0.866599047,,,,,,
302,2.779995892,1.996091893,0.096862872,0.909634966,0,0,0,0,0,0,0,0,,NaN,0.997500438,-46.211893,0.999988898,,,,,,
303,1.089252647,1.999646317,0.070928661,0.834870893,0,3,1.5,1.5,1,1,1,30,,0.014628107,0.835199678,90.633683,0.925965345,,,,,,
304,1.849865974,1.999821613,0.097115416,0.86716306,0,3,1.5,1.5,1,0,1,20,,0.034747253,0.878661791,108.003227,0.92388332,,,,,,
305,0.579770553,1.997930267,0.087757563,0.791491543,3,0,3,3,1,1,1,30,,0.009535847,0.793057675,106.660243,0.864698669,,,,,,
306,2.106936795,1.997923553,0.069948095,0.887097922,0,0,0,0,0,0,0,0,???,0.039189733,0.927701269,83.956447,0.924905275,,,,,,
307,0.920399496,1.997292164,0.075973991,0.822910133,0,3,1.5,1.5,0,0,1,10,?,0.011476447,0.829952888,84.467836,0.872091897,,,,,,
308,2.289276845,1.999635224,0.084911155,0.892616775,0,0,0,0,0,0,0,0,,0.040307836,0.894520138,92.324776,0.894848351,,,,,,
309,2.412250761,1.997423528,0.098584978,0.899330557,0,0,0,0,0,0,0,0,,NaN,0.997914657,-47.543528,0.999988898,,,,,,
310,2.618530575,1.996348345,0.098830788,0.905429437,0,0,0,0,0,0,0,0,,NaN,0.997567688,-46.468345,0.999988898,,,,,,
311,1.576895595,1.99913605,0.071948516,0.855601422,0,3,1.5,1.5,1,1,0,20,,0.018691655,0.865758134,98.10395,0.9611152,,,,,,
312,0.293374823,1.997508912,0.09902074,0.742755699,3,0,3,3,1,1,1,30,,0.00978395,0.745535715,112.931088,0.858195259,,,,,,
313,0.801419391,1.996892047,0.098573659,0.811313756,0,3,1.5,1.5,1,1,0,20,"(1,2)",0.011291088,0.81941306,112.107953,0.901370382,,,,,,
314,3.196680765,1.997567967,0.082863009,0.919022259,0,0,0,0,0,0,0,0,,NaN,0.998291066,-47.687967,0.999987531,,,,,,
315,0.533323066,1.996286894,0.09334934,0.784783698,3,0,3,3,1,1,1,30,,0.010152033,0.786660601,106.713106,0.871633704,,,,,,
316,2.890359421,1.996434889,0.071424815,0.91308937,0,0,0,0,0,0,0,0,,NaN,0.99783106,-46.554889,0.999987531,,,,,,
317,1.884198523,1.999810211,0.080744651,0.868309723,0,3,1.5,1.5,0,0,1,10,,0.038285111,0.881438016,89.989789,0.919311926,,,,,,
318,3.486471508,1.999868894,0.097193993,0.923506093,0,0,0,0,0,0,0,0,,NaN,0.998231251,-49.988894,0.999987531,,,,,,
319,0.273614351,1.998281702,0.093080504,0.739155653,3,0,3,3,1,1,1,30,,0.009651106,0.741291759,108.558298,0.869337388,,,,,,
320,1.549373944,1.996134081,0.098651098,0.858276284,0,3,1.5,1.5,0,1,0,10,,0.027558298,0.860197798,109.745919,0.897293305,,,,,,
321,0.373284696,1.99686325,0.088536165,0.758737719,3,0,3,3,1,1,1,30,,0.012065919,0.760931739,106.49675,0.844912404,,,,,,
322,3.366643283,1.997356494,0.067889199,0.922410669,0,0,0,0,0,0,0,0,,NaN,0.999508696,-47.476494,0.999988898,,,,,,
323,0.016219784,1.999306642,0.094976006,0.668754316,3,0,3,3,1,1,1,30,,0.013363506,0.672849081,110.653358,0.824989361,,,,,,
324,2.712186626,1.995949181,0.097801975,0.907930781,0,0,0,0,0,0,0,0,,NaN,0.997300939,-46.069181,0.999988898,,,,,,
325,2.860561272,1.996064266,0.089301881,0.912332216,0,0,0,0,0,0,0,0,,NaN,0.997175544,-46.184266,0.999988898,,,,,,
326,3.040431469,1.996589125,0.091932746,0.916359433,0,0,0,0,0,0,0,0,,NaN,0.996898232,-46.709125,0.999988898,,,,,,
327,0.295525459,1.998589648,0.091446311,0.743741398,3,0,3,3,1,1,1,30,,0.013050875,0.745757264,108.370352,0.867548643,,,,,,
328,1.399239272,1.998933843,0.07976116,0.848126249,0,3,1.5,1.5,1,1,1,30,,0.015970352,0.865513984,96.146157,0.92263751,,,,,,
329,0.90954641,1.998583942,0.088527414,0.816748724,0,3,1.5,1.5,1,1,1,30,,0.011186157,0.826128348,100.216058,0.888340524,,,,,,
330,2.800239681,1.997763849,0.072400517,0.910095169,0,0,0,0,0,0,0,0,,NaN,0.996573867,-47.883849,0.999988898,,,,,,
331,1.509948396,1.998164204,0.090211335,0.849979177,0,3,1.5,1.5,1,0,0,10,,0.017636151,0.870360835,104.835796,0.914111811,,,,,,
332,3.187266581,1.99711967,0.067760034,0.919105119,0,0,0,0,0,0,0,0,,NaN,0.999436829,-47.23967,0.999988898,,,,,,
333,0.636464599,1.998987887,0.075921535,0.799913395,3,0,3,3,1,1,1,30,,0.01276033,0.800379886,90.092113,0.865562443,,,,,,
334,0.923310208,1.996672313,0.068237507,0.821726047,0,3,1.5,1.5,0,1,1,20,"(1,2)",0.009932113,0.824592523,78.487687,0.899274134,,,,,,
335,0.509386431,1.998746564,0.069934488,0.782404758,3,0,3,3,1,1,1,30,,0.013087687,0.782946699,90.693436,0.856198657,,,,,,
336,0.476239955,1.99664963,0.094121146,0.776178741,3,0,3,3,1,1,1,30,,0.009333436,0.778152608,105.99037,0.862902365,,,,,,
337,3.042522727,1.997420352,0.089837793,0.915912647,0,0,0,0,0,0,0,0,,NaN,0.9961606,-47.540352,0.999988898,,,,,,
338,2.028966056,1.998491744,0.077259413,0.880512141,0,3,1.5,1.5,0,1,0,10,,0.038859648,0.885557563,97.548256,0.951694747,,,,,,
339,1.924510706,1.999135948,0.098342394,0.871024208,0,3,1.5,1.5,0,0,1,10,,0.036708256,0.87161254,106.504052,0.907771839,,,,,,
340,0.507341794,1.996223024,0.067847054,0.782282202,3,0,3,3,1,1,0,20,,0.008464052,0.782837892,82.056976,0.875003316,,,,,,
341,2.985608912,1.999757442,0.081310187,0.913460133,0,0,0,0,0,0,0,0,,NaN,0.998223702,-49.877442,0.999988898,,,,,,
342,2.17719296,1.999117136,0.079405897,0.887406694,0,0,0,0,0,0,0,0,,0.037122558,0.895121298,93.682864,0.940684608,,,,,,
343,1.228333333,1.997913298,0.092191709,0.836626653,0,3,1.5,1.5,1,1,1,30,,0.012442864,0.852495123,101.246702,0.916120313,,,,,,
344,1.79637339,1.997701077,0.093180157,0.864844206,0,3,1.5,1.5,1,0,0,10,,0.036566702,0.883648795,94.978923,0.884075287,,,,,,
345,1.406328118,1.997746599,0.072922858,0.849955488,0,3,1.5,1.5,1,0,0,10,,0.015898923,0.864205142,91.693401,0.921285804,,,,,,
346,0.265883421,1.997161456,0.083009154,0.738257551,3,0,3,3,1,1,1,30,,0.010933401,0.739829725,96.838544,0.853013754,,,,,,
347,0.839706537,1.998003786,0.08153802,0.813501336,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.012478544,0.822591229,94.556214,0.907572176,,,,,,
348,0.431616272,1.998013215,0.088222223,0.769021489,3,0,3,3,1,1,1,30,,0.011396214,0.770822484,107.266785,0.853867904,,,,,,
349,0.643677259,1.999291782,0.090321849,0.799896056,3,0,3,3,1,1,1,30,,0.011866785,0.801262847,106.468218,0.865410131,,,,,,
350,0.83983384,1.999196798,0.091831067,0.812951604,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.010708218,0.822192275,102.363202,0.880685036,,,,,,
351,2.824184352,2.000411243,0.091717193,0.909683964,0,0,0,0,0,0,0,0,,NaN,0.998144025,-0.050531243,0.999988898,,,,,,
352,0.127331386,2.000917177,0.075194667,0.704824371,3,0,3,3,1,1,1,30,,0.009082823,0.706285992,0.092242823,0.844901805,,,,,,
353,1.10769194,1.996590482,0.08354837,0.828267889,0,3,1.5,1.5,0,1,1,20,,0.013049518,0.845077793,0.099809518,0.92168561,,,,,,
354,0.184685563,2.00095931,0.089979255,0.718741186,3,0,3,3,1,1,1,30,,0.00892069,0.721013988,0.10780069,0.889729595,,1.999117136,1.998558,,1.999291782,1.998558
355,0.388527125,1.999398107,0.096367078,0.761045485,3,0,3,3,1,1,1,30,,0.010481893,0.763252993,0.110321893,0.875816117,,,,,,
356,3.293831313,1.996426891,0.098644404,0.920765331,0,0,0,0,0,0,0,0,,NaN,0.998021216,-0.046546891,0.999988898,,0.000559136,,,0.000733782,
357,2.779314492,1.997432212,0.084922277,0.909796908,0,0,0,0,0,0,0,0,,NaN,0.998107366,-0.047552212,0.999988898,,,,,,
358,1.26839792,1.998923231,0.071316194,0.842485179,0,3,1.5,1.5,0,1,1,20,,0.013116769,0.85016878,0.093036769,0.957714069,,,,,,
359,3.800888195,2.001204482,0.07167149,0.929072118,0,0,0,0,0,0,0,0,,NaN,0.997361844,-0.051324482,0.999988898,,1.998583631,0.074375256,,,
360,0.137784322,2.001245492,0.075275025,0.707682827,3,0,3,3,1,1,1,30,,0.008514508,0.709209773,0.092034508,0.845732107,,,,,,
361,1.754977439,1.996760628,0.094695885,0.869627171,0,3,1.5,1.5,0,0,0,0,,0.037119372,0.878197706,0.101439372,0.90515048,,,,,,
362,1.526233828,2.001277182,0.075167597,0.851957357,0,3,1.5,1.5,0,1,1,20,,0.013882818,0.871296813,0.095962818,0.95493699,,2.56E-05,,,,
