Domain, Vposmag, PriVposmag, PriIposmag, Iposmag,,Domain, Signal, Signal1, Signal2
1.95792,7.324799304,39.74465895,0.095581834,0.53022182,,1.95792,0,0,0
1.95804,7.324799304,39.74465895,0.095581834,0.53022182,,1.95804,0,0,0
1.95816,7.324799304,39.74465895,0.095581834,0.53022182,,1.95816,0,0,0
1.95828,7.324799304,39.74465895,0.095581834,0.53022182,,1.95828,0,0,0
1.9584,7.324777826,39.74465507,0.095585682,0.530243098,,1.9584,0,0,0
1.95852,7.324777826,39.74465507,0.095585682,0.530243098,,1.95852,0,0,0
1.95864,7.324777826,39.74465507,0.095585682,0.530243098,,1.95864,0,0,0
1.95876,7.324777826,39.74465507,0.095585682,0.530243098,,1.95876,0,0,0
1.95888,7.324777826,39.74465507,0.095585682,0.530243098,,1.95888,0,0,0
1.959,7.324777826,39.74465507,0.095585682,0.530243098,,1.959,0,0,0
1.95912,7.324777826,39.74465507,0.095585682,0.530243098,,1.95912,0,0,0
1.95924,7.324777826,39.74465507,0.095585682,0.530243098,,1.95924,0,0,0
1.95936,7.324777826,39.74465507,0.095585682,0.530243098,,1.95936,0,0,0
1.95948,7.324836638,39.74465286,0.095587703,0.53025426,,1.95948,0,0,0
1.9596,7.324836638,39.74465286,0.095587703,0.53025426,,1.9596,0,0,0
1.95972,7.324836638,39.74465286,0.095587703,0.53025426,,1.95972,0,0,0
1.95984,7.324836638,39.74465286,0.095587703,0.53025426,,1.95984,0,0,0
1.95996,7.324836638,39.74465286,0.095587703,0.53025426,,1.95996,0,0,0
1.96008,7.324836638,39.74465286,0.095587703,0.53025426,,1.96008,0,0,0
1.9602,7.324836638,39.74465286,0.095587703,0.53025426,,1.9602,0,0,0
1.96032,7.324836638,39.74465286,0.095587703,0.53025426,,1.96032,0,0,0
1.96044,7.32486946,39.74465508,0.095585651,0.530242967,,1.96044,0,0,0
1.96056,7.32486946,39.74465508,0.095585651,0.530242967,,1.96056,0,0,0
1.96068,7.32486946,39.74465508,0.095585651,0.530242967,,1.96068,0,0,0
1.9608,7.32486946,39.74465508,0.095585651,0.530242967,,1.9608,0,0,0
1.96092,7.32486946,39.74465508,0.095585651,0.530242967,,1.96092,0,0,0
1.96104,7.32486946,39.74465508,0.095585651,0.530242967,,1.96104,0,0,0
1.96116,7.32486946,39.74465508,0.095585651,0.530242967,,1.96116,0,0,0
1.96128,7.32486946,39.74465508,0.095585651,0.530242967,,1.96128,0,0,0
1.9614,7.32486946,39.74465508,0.095585651,0.530242967,,1.9614,0,0,0
1.96152,7.324851886,39.74465659,0.09558491,0.530239031,,1.96152,0,0,0
1.96164,7.324851886,39.74465659,0.09558491,0.530239031,,1.96164,0,0,0
1.96176,7.324851886,39.74465659,0.09558491,0.530239031,,1.96176,0,0,0
1.96188,7.324851886,39.74465659,0.09558491,0.530239031,,1.96188,0,0,0
1.962,7.324851886,39.74465659,0.09558491,0.530239031,,1.962,0,0,0
1.96212,7.324851886,39.74465659,0.09558491,0.530239031,,1.96212,0,0,0
1.96224,7.324851886,39.74465659,0.09558491,0.530239031,,1.96224,0,0,0
1.96236,7.324851886,39.74465659,0.09558491,0.530239031,,1.96236,0,0,0
1.96248,7.324851886,39.74465659,0.09558491,0.530239031,,1.96248,0,0,0
1.9626,7.324818566,39.74465504,0.095586994,0.530250661,,1.9626,0,0,0
1.96272,7.324818566,39.74465504,0.095586994,0.530250661,,1.96272,0,0,0
1.96284,7.324818566,39.74465504,0.095586994,0.530250661,,1.96284,0,0,0
1.96296,7.324818566,39.74465504,0.095586994,0.530250661,,1.96296,0,0,0
1.96308,7.324818566,39.74465504,0.095586994,0.530250661,,1.96308,0,0,0
1.9632,7.324818566,39.74465504,0.095586994,0.530250661,,1.9632,0,0,0
1.96332,7.324818566,39.74465504,0.095586994,0.530250661,,1.96332,0,0,0
1.96344,7.324818566,39.74465504,0.095586994,0.530250661,,1.96344,0,0,0
1.96356,7.324845224,39.74465305,0.095587923,0.53025561,,1.96356,0,0,0
1.96368,7.324845224,39.74465305,0.095587923,0.53025561,,1.96368,0,0,0
1.9638,7.324845224,39.74465305,0.095587923,0.53025561,,1.9638,0,0,0
1.96392,7.324845224,39.74465305,0.095587923,0.53025561,,1.96392,0,0,0
